source_project,source_dataset,source_label,source_path,reason,mapped_unified_label,mapping_decision,note
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_771_1488_562.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_365_751_709.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_63_1075_498.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_483_925_716.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_358_738_837.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_875_1670_121.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_645_1300_463.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_514_967_300.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_330_698_211.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_722_1377_120.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_280_431_466.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Melanoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_966_1825_546.png,missing_image_path,melanoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_396_796_394.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_216_331_678.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
